Test_Name,Status,Remarks
abort2_bist_test_pcb,Passed,
abort3_bist_test_pcb,Passed,
abort4_bist_test_pcb,Passed,
abort5_bist_test_pcb,Passed,
abort6_bist_test_pcb,Passed,
abort7_bist_test_pcb,Passed,
abort8_bist_test_pcb,Passed,
bist_fsm1_reset_test_pcb,Passed,
bist_fsm9_reset_test_pcb,Passed,
bist_fsm10_reset_test_pcb,Passed,
bist_status_reg_test_pcb,Passed,
bist_test_pcb,Passed,
braodcast2_test_pcb,Failed,"UVM_ERROR ../tb_src/top/scoreboard.sv(238) @ 16530000: uvm_test_top.env.scb [PL Read Data] Data MisMatch :: ------
"
braodcast_test_pcb,Passed,
calib_fsm1_reset_test_pcb,Passed,
calib_fsm2_reset_test_pcb,Passed,
calib_fsm3_reset_test_pcb,Passed,
calib_fsm4_reset_test_pcb,Failed,"UVM_ERROR ../tb_src/top/scoreboard.sv(238) @ 20500: uvm_test_top.env.scb [PL Address] Data MisMatch :: ------
"
calib_fsm5_reset_test_pcb,Failed,"UVM_ERROR ../tb_src/top/scoreboard.sv(238) @ 21000: uvm_test_top.env.scb [PL Address] Data MisMatch :: ------
"
calibrate_test_pcb,Passed,
col_braodcast2_test_pcb,Failed,"UVM_ERROR ../tb_src/top/scoreboard.sv(238) @ 5527000: uvm_test_top.env.scb [PL Read Data] Data MisMatch :: ------
"
col_braodcast_test_pcb,Passed,
ctrl_a_inc_test_pcb,Passed,
ctrl_s_inc_test_pcb,Passed,
enable_test_pcb,Passed,
fail_bist_test_pcb,Passed,
parity_test_pcb,Passed,
pl_ram_test_pcb,Failed,"UVM_ERROR ../tb_src/apb-vip-workspace/apb_vip_master/apb_demo_scoreboard.sv(127) @ 11277000: uvm_test_top.env.apb_master.scoreboard0 [apb_demo_scoreboard] Read Data MisMatch :: ------
"
register_wr_test_pcb,Passed,
row_braodcast2_test_pcb,Failed,"UVM_ERROR ../tb_src/top/scoreboard.sv(238) @ 5527000: uvm_test_top.env.scb [PL Read Data] Data MisMatch :: ------
"
row_braodcast_test_pcb,Passed,
split_test_pcb,Passed,
